Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1961","1961","t","56217596","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1962","1962","t","65675296","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1963","1963","t","76439287","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1964","1964","t","85853775","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1965","1965","t","90705628","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1966","1966","t","98403988","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1967","1967","t","96734821","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1968","1968","t","97716770","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1969","1969","t","97998501","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1970","1970","t","113101872","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1971","1971","t","118129217","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1972","1972","t","116428568","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1973","1973","t","124584102","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1974","1974","t","127010746","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1975","1975","t","128726268","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1976","1976","t","129231908","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1977","1977","t","131917523","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1978","1978","t","140023847","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1979","1979","t","146846141","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1980","1980","t","142876522","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1981","1981","t","146959846","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1982","1982","t","164741383","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1983","1983","t","172008870","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1984","1984","t","181095752","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1985","1985","t","171318871","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1986","1986","t","174720521","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1987","1987","t","176662482","A","Official figure",""
"QCL","Crops and livestock products","159","China","5510","Production","0113","Rice","1988","1988","t","171441919","A","Official figure",""
