"","country","iso2c","iso3c","year","pop","gdp"
"1","Brazil","BR","BRA",1990,149143223,917211118029.012
"2","Brazil","BR","BRA",1991,151724256,926678475666.292
"3","Brazil","BR","BRA",1992,154275079,921636677088.89
"4","Brazil","BR","BRA",1993,156794577,967024426395.984
"5","Brazil","BR","BRA",1994,159265006,1023623112443.65
"6","Brazil","BR","BRA",1995,161735073,1066858840298.13
"7","Brazil","BR","BRA",1996,164202549,1090424301689.88
"8","Brazil","BR","BRA",1997,166661659,1127442527329.51
"9","Brazil","BR","BRA",1998,169159655,1131254386851.73
"10","Brazil","BR","BRA",1999,171641543,1136547951100.23
"11","Brazil","BR","BRA",2000,174018282,1186419100640.61
"12","Brazil","BR","BRA",2001,176301203,1202909097020.67
"13","Brazil","BR","BRA",2002,178503484,1239639467497.76
"14","Brazil","BR","BRA",2003,180622688,1253781634016.71
"15","Brazil","BR","BRA",2004,182675143,1325999012757.63
"16","Brazil","BR","BRA",2005,184688101,1368459252277.73
"17","Brazil","BR","BRA",2006,186653106,1422677453370.7
"18","Brazil","BR","BRA",2007,188552320,1509032133942.18
"19","Brazil","BR","BRA",2008,190367302,1585905180197
"20","Brazil","BR","BRA",2009,192079951,1583909921137.42
"21","Brazil","BR","BRA",2010,193701929,1703150236756.78
"22","Brazil","BR","BRA",2011,195284734,1770840632844.1
"23","Brazil","BR","BRA",2012,196876111,1804861597828.48
"24","Brazil","BR","BRA",2013,198478299,1859094488272.12
"25","Brazil","BR","BRA",2014,200085127,1868463501662.3
"26","Brazil","BR","BRA",2015,201675532,1802212206814.5
"27","Brazil","BR","BRA",2016,203218114,1743173232416.64
"28","Brazil","BR","BRA",2017,204703445,1766233131666.66
"29","Brazil","BR","BRA",2018,206107261,1797736844969.16
"30","Brazil","BR","BRA",2019,207455459,1819683217699.38
"31","Brazil","BR","BRA",2020,208660842,1760056587795.46
"32","Brazil","BR","BRA",2021,209550294,1843881119920.2
"33","Brazil","BR","BRA",2022,210306415,1899505377558.02
"34","China","CN","CHN",1990,1135185000,1041271896195.66
"35","China","CN","CHN",1991,1150780000,1138752669458.5
"36","China","CN","CHN",1992,1164970000,1301589870245.13
"37","China","CN","CHN",1993,1178440000,1482889338698.69
"38","China","CN","CHN",1994,1191835000,1676743149158.28
"39","China","CN","CHN",1995,1204855000,1861735071148.11
"40","China","CN","CHN",1996,1217550000,2047465483836.55
"41","China","CN","CHN",1997,1230075000,2237626840759.87
"42","China","CN","CHN",1998,1241935000,2414864610327.86
"43","China","CN","CHN",1999,1252735000,2601702759078.63
"44","China","CN","CHN",2000,1262645000,2825096197799.54
"45","China","CN","CHN",2001,1271850000,3059936242478.58
"46","China","CN","CHN",2002,1280400000,3342778183071.46
"47","China","CN","CHN",2003,1288400000,3681006926650.74
"48","China","CN","CHN",2004,1296075000,4053944733453.66
"49","China","CN","CHN",2005,1303720000,4518455387849.41
"50","China","CN","CHN",2006,1311020000,5091154930758.42
"51","China","CN","CHN",2007,1317885000,5811552614974.09
"52","China","CN","CHN",2008,1324655000,6373544042638.01
"53","China","CN","CHN",2009,1331260000,6972829250985.1
"54","China","CN","CHN",2010,1337705000,7711689202853.29
"55","China","CN","CHN",2011,1345035000,8441318020902.42
"56","China","CN","CHN",2012,1354190000,9104482675356.36
"57","China","CN","CHN",2013,1363240000,9812695262900.89
"58","China","CN","CHN",2014,1371860000,10544908798424
"59","China","CN","CHN",2015,1379860000,11280814787468.9
"60","China","CN","CHN",2016,1387790000,12045152668727.3
"61","China","CN","CHN",2017,1396215000,12875216222853.4
"62","China","CN","CHN",2018,1402760000,13745158275136.7
"63","China","CN","CHN",2019,1407745000,14579283528148.4
"64","China","CN","CHN",2020,1411100000,14920466234565.3
"65","China","CN","CHN",2021,1412360000,16199162892908.6
"66","China","CN","CHN",2022,1412175000,16706875253648.5
"67","France","FR","FRA",1990,58261012,1630899060963.07
"68","France","FR","FRA",1991,58554242,1651067777785.17
"69","France","FR","FRA",1992,58846584,1676098974378.87
"70","France","FR","FRA",1993,59103094,1670081815758.79
"71","France","FR","FRA",1994,59324863,1709890902349.41
"72","France","FR","FRA",1995,59541294,1749300344479.7
"73","France","FR","FRA",1996,59754504,1773739467493.06
"74","France","FR","FRA",1997,59968066,1818562957062.05
"75","France","FR","FRA",1998,60190684,1881350558837.76
