"","country","iso2c","iso3c","year","pop","gdp"
"1","China","CN","CHN",1990,1135185000,1041271896195.66
"2","China","CN","CHN",1991,1150780000,1138752669458.5
"3","China","CN","CHN",1992,1164970000,1301589870245.13
"4","China","CN","CHN",1993,1178440000,1482889338698.69
"5","China","CN","CHN",1994,1191835000,1676743149158.28
"6","China","CN","CHN",1995,1204855000,1861735071148.11
"7","China","CN","CHN",1996,1217550000,2047465483836.55
"8","China","CN","CHN",1997,1230075000,2237626840759.87
"9","China","CN","CHN",1998,1241935000,2414864610327.86
"10","China","CN","CHN",1999,1252735000,2601702759078.63
"11","China","CN","CHN",2000,1262645000,2825096197799.54
"12","China","CN","CHN",2001,1271850000,3059936242478.58
"13","China","CN","CHN",2002,1280400000,3342778183071.46
"14","China","CN","CHN",2003,1288400000,3681006926650.74
"15","China","CN","CHN",2004,1296075000,4053944733453.66
"16","China","CN","CHN",2005,1303720000,4518455387849.41
"17","China","CN","CHN",2006,1311020000,5091154930758.42
"18","China","CN","CHN",2007,1317885000,5811552614974.09
"19","China","CN","CHN",2008,1324655000,6373544042638.01
"20","China","CN","CHN",2009,1331260000,6972829250985.1
"21","China","CN","CHN",2010,1337705000,7711689202853.29
"22","China","CN","CHN",2011,1345035000,8441318020902.42
"23","China","CN","CHN",2012,1354190000,9104482675356.36
"24","China","CN","CHN",2013,1363240000,9812695262900.89
"25","China","CN","CHN",2014,1371860000,10544908798424
"26","China","CN","CHN",2015,1379860000,11280814787468.9
"27","China","CN","CHN",2016,1387790000,12045152668727.3
"28","China","CN","CHN",2017,1396215000,12875216222853.4
"29","China","CN","CHN",2018,1402760000,13745158275136.7
"30","China","CN","CHN",2019,1407745000,14579283528148.4
"31","China","CN","CHN",2020,1411100000,14920466234565.3
"32","China","CN","CHN",2021,1412360000,16199162892908.6
"33","China","CN","CHN",2022,1412175000,16706875253648.5
